Symbol,shortName,fullTimeEmployees,logo_url,company_sector_dim.Index,Index_Loc
FDS,FactSet Research Systems Inc.,10784,https://logo.clearbit.com/factset.com,48,47
CINF,Cincinnati Financial Corporatio,5166,https://logo.clearbit.com/cinfin.com,21,63
BWA,BorgWarner Inc.,49300,https://logo.clearbit.com/borgwarner.com,32,51
CARR,Carrier Global Corporation,58000,https://logo.clearbit.com/corporate.carrier.com,46,53
CCL,Carnival Corporation,40000,https://logo.clearbit.com/carnivalcorp.com,43,54
CE,Celanese Corporation Celanese C,8500,https://logo.clearbit.com/celanese.com,50,56
CEG,Constellation Energy Corporatio,11696,https://logo.clearbit.com/constellationenergy.com,51,57
CMI,Cummins Inc.,59900,https://logo.clearbit.com/cummins.com,25,67
CFG,"Citizens Financial Group, Inc.",17463,https://logo.clearbit.com/citizensbank.com,53,58
CHD,"Church & Dwight Company, Inc.",5100,https://logo.clearbit.com/churchdwight.com,54,59
CHRW,"C.H. Robinson Worldwide, Inc.",17258,https://logo.clearbit.com/chrobinson.com,55,60
CHTR,"Charter Communications, Inc.",93700,https://logo.clearbit.com/corporate.charter.com,56,61
CI,Cigna Corporation,72226,https://logo.clearbit.com/cigna.com,57,62
CLX,Clorox Company (The),9000,https://logo.clearbit.com/thecloroxcompany.com,54,64
CMCSA,Comcast Corporation,189000,https://logo.clearbit.com/corporate.comcast.com,56,65
FMC,FMC Corporation,6400,https://logo.clearbit.com/fmc.com,52,65
CMG,"Chipotle Mexican Grill, Inc.",100000,https://logo.clearbit.com/chipotle.com,58,66
COF,Capital One Financial Corporati,51500,https://logo.clearbit.com/capitalone.com,39,69
HLT,Hilton Worldwide Holdings Inc.,142000,https://logo.clearbit.com/hilton.com,83,69
COO,"The Cooper Companies, Inc.",12000,https://logo.clearbit.com/coopercos.com,42,70
CVX,Chevron Corporation,42595,https://logo.clearbit.com/chevron.com,65,70
COST,Costco Wholesale Corporation,288000,https://logo.clearbit.com/costco.com,59,71
CSX,CSX Corporation,21000,https://logo.clearbit.com/csx.com,62,73
FIS,Fidelity National Information S,65000,https://logo.clearbit.com/fisglobal.com,8,73
CTAS,Cintas Corporation,40000,https://logo.clearbit.com/cintas.com,63,74
FITB,Fifth Third Bancorp,19247,https://logo.clearbit.com/53.com,53,74
CTLT,"Catalent, Inc.",17300,https://logo.clearbit.com/catalent.com,64,75
CTSH,Cognizant Technology Solutions,330600,https://logo.clearbit.com/cognizant.com,8,76
CTVA,"Corteva, Inc.",21000,https://logo.clearbit.com/corteva.com,52,77
DRE,Duke Realty Corporation,340,https://logo.clearbit.com/dukerealty.com,68,77
